__id,fecha_de_apertura,dia_de_apertura,fecha_ocurrencia_hechos,dia_ocurrencia,hora_militar_ocurrencia_hechos,conforman_unidad_domestica,fisica,verbal,economica,psicologica,sexual,genero_m_f_victima,edad_victima,victima_conflicto_armado,etnia_victima,estado_civil_victima,escolaridad_victima,corregimiento_victima,comuna_de_la_victima,barrio_victima,ocupacion_victima,no_hijos_victima,vivienda_victima,nucleo_familiar_victima,numero_hermanos_victima,genero_agresor_m_f,parentesco_frente_a_la_victima,no_de_hijos_agresor,edad_agresor,estado_civil_agresor,escolaridad_agresor,ocupacion_agresor,corregimiento_agresor,comuna_agresor,barrio,tipo_vivienda
row-4836-rqv7_tfug,13/05/2022,viernes,12/05/2022,jueves,08:22 PM,si,si,si,no,si,no,femenino,39,no,afro,casado(a),bachiller completo,ninguno,comuna7,independencia,independiente,2,alquilada,3,0,masculino,conyuge,1,52,casado(a),bachiller completo,independiente,ninguno,comuna7,barrio nuevo,propia
row-8q4v~auij~unv8,16/05/2022,lunes,16/05/2022,lunes,11:30 a.m.,si,si,si,no,si,no,femenino,83,no,ninguno,soltero(a),bachiller completo,ninguno,comuna5,maría cano,independiente,3,propia,3,0,femenino,hijo(a),0,30,soltero(a),primaria incompleta,independiente,ninguno,comuna5,maría cano,familiar
row-h4sp~hemg-dnw2,16/05/2022,lunes,16/05/2022,lunes,12:00 m.,si,si,si,no,si,si,femenino,35,no,ninguno,soltero(a),primaria incompleta,ninguno,comuna1,la vega zamorano,independiente,2,propia,3,0,masculino,ex-conyuge,0,no aplica,soltero(a),primaria incompleta,independiente,ninguno,comuna1,no,familiar
row-gvfp.f2f4.fenb,17/05/2022,martes,10/05/2022,miércoles,11:30 a.m.,si,si,si,no,si,si,femenino,21,no,ninguno,soltero(a),pregrado,ninguno,comuna3,el prado,estudiante,1,alquilada,4,2,masculino,conyuge,1,38,soltero(a),pregrado,independiente,ninguno,comuna4,loreto,propia
row-vazk~umg6~mtjv,23/05/2022,lunes,07/05/2022,sábado,11:00 p.m.,si,si,si,no,si,no,femenino,40,no,ninguno,unión libre,técnico,ninguno,comuna2,la orlidia,independiente,2,alquilada,5,0,masculino,conyuge,2,44,soltero(a),bachiller completo,independiente,barrancas,comuna13,barrancas,propia
row-5u25_ambv.75k2,23/05/2022,lunes,03/05/2022,martes,8:40 a.m.,si,si,si,no,si,no,femenino,41,no,ninguno,soltero(a),tecnólogo,ninguno,comuna7,parques de la italia,independiente,1,alquilada,2,1,masculino,ex-conyuge,1,31,soltero(a),pregrado,empleado,ninguno,comuna1,telecenter panamericana,alquilada
row-6c22-ndih-hr8i,23/05/2022,lunes,03/05/2022,martes,8:40 a.m.,si,si,si,no,si,no,femenino,24,no,ninguno,soltero(a),bachiller completo,ninguno,comuna1,reservas de zamorano,independiente,1,propia,4,0,masculino,ex-conyuge,1,28,soltero(a),bachiller completo,desempleado,ninguno,comuna3,llanogrande,alquilada
row-qvy8-4hkb-6z4p,23/05/2022,lunes,19/05/2022,jueves,14:24 p.m.,si,si,si,no,si,si,femenino,17,no,ninguno,unión libre,bachiller completo,ninguno,comuna3,llanogrande,estudiante,0,alquilada,2,0,masculino,padre,2,42,unión libre,técnico,empleado,ninguno,comuna3,llanogrande,propia
row-gnf8_rspj_zk6c,23/05/2022,lunes,03/05/2022,martes,15:23 p.m.,si,si,si,no,si,no,femenino,60,no,ninguno,separado(a),primaria incompleta,ninguno,comuna7,las américas,independiente,2,familiar,1,11,masculino,ex-conyuge,2,42,unión libre,técnico,empleado,ninguno,comuna3,llanogrande,propia
row-3akr~vz4r.be3q,24/05/2022,martes,21/05/2022,sábado,14:05 p.m.,si,si,si,no,si,no,femenino,61,no,ninguno,soltero(a),primaria completa,ninguno,comuna5,el retiro,independiente,0,propia,2,3,femenino,hijo(a),6,41,soltero(a),bachiller incompleto,independiente,ninguno,comuna5,el retiro,alquilada
